DATE,Price
18-Aug-10,0.07
19-Aug-10,0.07
20-Aug-10,0.07
21-Aug-10,0.07
22-Aug-10,0.07
23-Aug-10,0.07
24-Aug-10,0.07
25-Aug-10,0.07
26-Aug-10,0.07
27-Aug-10,0.07
28-Aug-10,0.06
29-Aug-10,0.06
30-Aug-10,0.06
31-Aug-10,0.06
01-Sep-10,0.06
02-Sep-10,0.06
03-Sep-10,0.06
04-Sep-10,0.06
05-Sep-10,0.06
06-Sep-10,0.06
07-Sep-10,0.06
08-Sep-10,0.06
09-Sep-10,0.06
10-Sep-10,0.06
11-Sep-10,0.06
12-Sep-10,0.06
13-Sep-10,0.06
14-Sep-10,0.18
15-Sep-10,0.06
16-Sep-10,0.15
17-Sep-10,0.06
18-Sep-10,0.06
19-Sep-10,0.06
20-Sep-10,0.06
21-Sep-10,0.06
22-Sep-10,0.06
23-Sep-10,0.06
24-Sep-10,0.06
25-Sep-10,0.06
26-Sep-10,0.06
27-Sep-10,0.06
28-Sep-10,0.06
29-Sep-10,0.06
30-Sep-10,0.06
01-Oct-10,0.06
02-Oct-10,0.06
03-Oct-10,0.06
04-Oct-10,0.06
05-Oct-10,0.06
06-Oct-10,0.06
07-Oct-10,0.06
08-Oct-10,0.12
09-Oct-10,0.12
10-Oct-10,0.12
11-Oct-10,0.1
12-Oct-10,0.1
13-Oct-10,0.1
14-Oct-10,0.12
15-Oct-10,0.11
16-Oct-10,0.12
17-Oct-10,0.1
18-Oct-10,0.1
19-Oct-10,0.1
20-Oct-10,0.11
21-Oct-10,0.11
22-Oct-10,0.11
23-Oct-10,0.19
24-Oct-10,0.15
25-Oct-10,0.18
26-Oct-10,0.19
27-Oct-10,0.19
28-Oct-10,0.19
29-Oct-10,0.19
30-Oct-10,0.2
31-Oct-10,0.19
01-Nov-10,0.2
02-Nov-10,0.28
03-Nov-10,0.21
04-Nov-10,0.24
05-Nov-10,0.29
06-Nov-10,0.25
07-Nov-10,0.37
08-Nov-10,0.34
09-Nov-10,0.36
10-Nov-10,0.24
11-Nov-10,0.25
12-Nov-10,0.24
13-Nov-10,0.3
14-Nov-10,0.28
15-Nov-10,0.3
16-Nov-10,0.28
17-Nov-10,0.29
18-Nov-10,0.28
19-Nov-10,0.29
20-Nov-10,0.29
21-Nov-10,0.29
22-Nov-10,0.29
23-Nov-10,0.28
24-Nov-10,0.29
25-Nov-10,0.29
26-Nov-10,0.28
27-Nov-10,0.29
28-Nov-10,0.28
29-Nov-10,0.28
30-Nov-10,0.28
01-Dec-10,0.25
02-Dec-10,0.26
03-Dec-10,0.25
04-Dec-10,0.24
05-Dec-10,0.23
06-Dec-10,0.23
07-Dec-10,0.25
08-Dec-10,0.24
09-Dec-10,0.25
